tokens,vocab_size
24064188,1288
24071663,1289
24089837,1290
24102286,1291
24116510,1292
24117984,1293
24137842,1294
24141016,1295
24146620,1296
24157926,1297
24169037,1298
24173219,1299
24175901,1300
24180475,1301
24193096,1302
24193690,1303
24193885,1304
24197142,1305
24219901,1306
24225802,1307
24225824,1308
24226371,1309
24246749,1310
24247136,1311
24247400,1312
24250004,1313
24253744,1314
24254515,1315
24255409,1316
24268463,1317
24275295,1318
24275509,1319
24275512,1320
24275535,1321
24275539,1322
24276570,1323
24277388,1324
24281431,1325
24281478,1326
24283591,1327
24283741,1328
24283773,1329
24284280,1330
24293130,1331
24296259,1332
24296683,1333
24301888,1334
24303712,1335
24320608,1336
24320810,1337
24321833,1338
24322622,1339
24324559,1340
24328539,1341
24337791,1342
24347283,1343
24351450,1344
24368645,1345
24370599,1346
24389214,1347
24397468,1348
24398577,1349
24405916,1350
24408912,1351
24426881,1352
24433964,1353
24434245,1354
24435140,1355
24435377,1356
24436256,1357
24457845,1358
24510985,1359
24514044,1360
24517837,1361
24517975,1362
24520088,1363
24534648,1364
24542831,1365
24546918,1366
24549499,1367
24552101,1368
24552772,1369
24558493,1370
24572723,1371
24597530,1372
24654258,1373
24654834,1374
24660640,1375
24662889,1376
24663569,1377
24667104,1378
24667131,1379
24667350,1380
24669070,1381
24671420,1382
24674325,1383
24674431,1384
24674469,1385
24678444,1386
24686352,1387
24700846,1388
24708543,1389
24710484,1390
24714699,1391
24721085,1392
24723296,1393
24723335,1394
24723484,1395
24725618,1396
24729856,1397
24732148,1398
24733606,1399
24738962,1400
24739958,1401
24739985,1402
24740001,1403
24743754,1404
24764895,1405
24765545,1406
24768725,1407
24769098,1408
24769872,1409
24775444,1410
24782392,1411
24786905,1412
24789342,1413
24792282,1414
24792573,1415
24795154,1416
24796567,1417
24799273,1418
24811664,1419
24812314,1420
24813576,1421
24816970,1422
24834202,1423
24842170,1424
24849365,1425
24852325,1426
24861423,1427
24864745,1428
24881528,1429
24884202,1430
24891991,1431
24903551,1432
24914220,1433
24915278,1434
24919094,1435
24953060,1436
24969123,1437
24970320,1438
24975601,1439
24976695,1440
24985481,1441
25002722,1442
25007172,1443
25029807,1444
25034790,1445
25034803,1446
25035064,1447
25036217,1448
25037336,1449
25039312,1450
